,RX1day,RX5day,R95p,R99p,R10mm,R20mm,R65mm,R115mm,R205mm,CDD,CWD
1901,32.9821891784668,32.9821891784668,103.29847294092178,73.33529043197632,2,2,0,0,0,133,6
1902,48.753257751464844,82.32063937187195,210.28584384918213,122.04291725158691,7,3,0,0,0,94,9
1903,104.5350112915039,179.78558993339539,493.519145488739,251.83784103393555,12,8,1,0,0,166,12
1904,35.81700134277344,74.67759895324707,132.17815700173378,107.53106880187988,3,3,0,0,0,122,4
1905,55.543617248535156,125.91209423542023,182.83947429060936,137.16219902038574,5,3,0,0,0,133,4
1906,71.15445709228516,125.54495605826378,474.7852144241333,231.6573486328125,17,8,2,0,0,109,6
1907,61.84550094604492,148.0090684890747,360.5565285682678,177.88946723937988,12,6,0,0,0,129,6
1908,81.03646850585938,106.6971812993288,308.7673432826996,167.52147674560547,9,6,1,0,0,166,14
1909,50.37038040161133,147.72622680664062,424.9264483451843,175.9000701904297,13,9,0,0,0,94,5
1910,84.43067169189453,123.99949550628662,377.35495829582214,224.61504745483398,9,5,1,0,0,154,11
1911,26.389455795288086,28.23635995388031,67.76759427785873,43.84135317802429,2,1,0,0,0,106,2
1912,112.23731231689453,191.08542609214783,494.85817766189575,231.44469833374023,16,9,1,0,0,170,10
1913,171.93446350097656,194.38294458389282,630.1733436584473,396.1294288635254,12,8,0,2,0,155,5
1914,38.83085632324219,76.31339246034622,288.4613938331604,103.78113746643066,14,2,0,0,0,109,12
1915,38.05564498901367,67.17020785808563,228.2726354598999,132.33610725402832,6,5,0,0,0,70,4
1916,72.01094818115234,115.42293739318848,421.86980867385864,190.80646514892578,15,7,1,0,0,169,9
1917,100.17063903808594,163.1588110923767,530.1541886329651,277.6135444641113,13,8,1,0,0,95,7
1918,33.01817321777344,71.82841110229492,87.76179285347462,76.49873781204224,2,2,0,0,0,166,3
1919,63.41968536376953,124.60799503326416,281.15151500701904,140.42330932617188,11,2,0,0,0,78,7
1920,145.7902069091797,298.1926711797714,519.4183185100555,380.35223388671875,8,6,0,2,0,114,5
1921,72.6058349609375,204.20648765563965,413.78157448768616,198.71714401245117,13,8,1,0,0,177,7
1922,40.791316986083984,83.8894157409668,239.91193437576294,139.3774127960205,6,4,0,0,0,99,5
1923,33.342411041259766,61.208617210388184,114.27424013614655,79.4505672454834,4,2,0,0,0,104,6
1924,35.81520462036133,91.28299188613892,197.64738655090332,96.6308536529541,8,3,0,0,0,125,9
1925,58.37596893310547,66.3267384916544,219.48998260498047,132.94463920593262,5,4,0,0,0,144,6
1926,87.98161315917969,190.350022315979,517.6259145736694,225.21945190429688,21,10,1,0,0,110,9
1927,99.68216705322266,154.2663230895996,446.95479822158813,223.31295013427734,13,10,1,0,0,104,9
1928,55.29738998413086,151.0822296142578,317.54011726379395,167.60634803771973,9,6,0,0,0,184,6
1929,165.4761962890625,314.3499240875244,415.00122249126434,333.23102378845215,6,3,0,2,0,77,3
1930,85.6186752319336,114.1837067604065,319.3084831237793,197.32112312316895,9,4,1,0,0,127,7
1931,32.1495361328125,65.33710235357285,163.14318323135376,88.82809257507324,5,2,0,0,0,146,4
1932,74.39488983154297,137.55708122253418,383.3129172325134,186.1991729736328,12,7,1,0,0,179,10
1933,105.60717010498047,205.27310514450073,650.1785616874695,338.4840660095215,15,11,3,0,0,105,8
1934,46.33531188964844,95.1395480632782,257.5293357372284,131.83131217956543,8,3,0,0,0,166,8
1935,74.99734497070312,174.0485382080078,420.3458330631256,212.11713790893555,11,8,1,0,0,139,8
1936,50.187828063964844,104.05618476867676,267.60999751091003,145.3199634552002,9,3,0,0,0,135,11
1937,39.57842254638672,107.3374376296997,328.0796432495117,129.794340133667,14,7,0,0,0,131,7
1938,29.92352294921875,84.04115390777588,201.81401979923248,99.49711418151855,7,3,0,0,0,144,10
1939,12.938563346862793,20.607092052698135,53.78845953941345,39.036325454711914,2,0,0,0,0,126,3
1940,39.43782043457031,65.00595188140869,219.21383619308472,111.41067504882812,9,3,0,0,0,98,5
1941,96.39598083496094,285.26060342788696,366.7583287358284,282.5036849975586,7,6,3,0,0,180,7
1942,54.287906646728516,104.8615493774414,193.18045055866241,141.65464401245117,5,3,0,0,0,104,5
1943,75.4194564819336,177.01158094406128,373.60064601898193,228.38602828979492,9,6,2,0,0,157,6
1944,56.80715560913086,172.2615840435028,547.5120391845703,207.14636993408203,18,12,0,0,0,95,14
1945,80.14286804199219,159.900028526783,430.5261707305908,218.6160125732422,13,8,1,0,0,143,4
1946,27.480548858642578,44.55906438827515,200.71907567977905,106.03188705444336,5,5,0,0,0,161,4
1947,76.52706146240234,176.26204872131348,370.0600736141205,214.38055801391602,10,6,2,0,0,183,9
1948,30.4941349029541,53.8338428735733,143.18144512176514,80.01322937011719,5,1,0,0,0,210,5
1949,119.15298461914062,160.88155460357666,439.6832175254822,236.52403259277344,13,6,0,1,0,154,11
1950,189.32598876953125,388.9807116985321,501.25969660282135,399.69702911376953,7,6,2,1,0,186,5
